zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"14721",MVDS: I-4-EB 075.6,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM075.6 ES,Unknown,FDOT,Radar,28.465964,-81.464097,,"55","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
"14728",MVDS: I-4-EB 075.7 EL,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM075.7 EX,Unknown,FDOT,Radar,28.466158,-81.464047,,"55","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
"16922",I-4 EB @ MM 073.1-WB-East,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM073.1 ES,Unknown,FDOT,Radar,28.439827,-81.474308,,"60","30",0.1,,,,,,,,5.000000000000000,11.000000000000000,,
"6121",I-4 @ 435-link2,District 5,Orlando,America/New_York,I-4,West,I-4 @ 435,Unknown,FDOT,Single Loop,28.4673,-81.4607,,"70","30",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6125",I-4 WB @ MM 072.1-WB,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at ORA MM072.1 WS,Unknown,FDOT,Radar,28.4262,-81.4745,,"45","30",0.5,,,,,,,,5.000000000000000,11.000000000000000,,
"6335",RSE-09_I-4_Sandlake-WB,District 5,Orlando,America/New_York,I-4,West,RSE-09_I-4_Sandlake,Unknown,FDOT,OBE,28.449149,-81.474054,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6337",RSE-08_I-4_E_of_Sandlake-WB,District 5,Orlando,America/New_York,I-4,West,RSE-08_I-4_E_of_Sandlake,Unknown,FDOT,OBE,28.457391,-81.473786,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6339",RSE-11_I-4_SR-528_WB_Ramp-WB,District 5,Orlando,America/New_York,I-4,West,RSE-11_I-4_SR-528_WB_Ramp,Unknown,FDOT,OBE,28.422089,-81.473999,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6348",RSE-07_I-4_W_of_Universal-WB,District 5,Orlando,America/New_York,I-4,West,RSE-07_I-4_W_of_Universal,Unknown,FDOT,OBE,28.462386,-81.469039,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6352",RSE-10_I-4_E_of_SR-528-WB,District 5,Orlando,America/New_York,I-4,West,RSE-10_I-4_E_of_SR-528,Unknown,FDOT,OBE,28.434072,-81.473874,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6463",I-4 528 E/B Ramp-link2,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at ORA MM071.9 ES,Unknown,FDOT,Single Loop,28.42258,-81.474,,"65","30",,,,,,,,,5.000000000000000,11.000000000000000,,
"6508",I-4 @ Sand Lake-WB,District 5,Orlando,America/New_York,I-4,West,I-4 @ Sand Lake (SR 482),Unknown,FDOT,Single Loop,28.4496,-81.4744,,"65","30",,,,,,,,,5.000000000000000,11.000000000000000,,
"6559",I-4 EB @ MM 072.6-WB,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at ORA MM072.6 ES,Unknown,FDOT,Radar,28.43242,-81.47403,,"70","30",0.6,,,,,,,,5.000000000000000,11.000000000000000,,
"6571",I-4 East of Sand Lake-WB,District 5,Orlando,America/New_York,I-4,West,I-4 East of Sand Lake(SR 482),Unknown,FDOT,Single Loop,28.4579,-81.4731,,"65","30",,,,,,,,,5.000000000000000,11.000000000000000,,
"6577",I-4 W of Sand Lake-WB,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at ORA MM073.2 WS,Unknown,FDOT,Single Loop,28.442,-81.4746,,"70","30",,,,,,,,,5.000000000000000,11.000000000000000,,
"6861",RSE-06_I-4_SR-435-WB,District 5,Orlando,America/New_York,I-4,West,RSE-06_I-4_SR-435,Unknown,FDOT,OBE,28.468361,-81.458643,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"7081",I-4 W of Universal-link2,District 5,Orlando,America/New_York,I-4,West,I-4 W of Universal,Unknown,FDOT,Single Loop,28.4633,-81.4683,,"70","30",,,,,,,,,5.000000000000000,11.000000000000000,,
"8614",I-4 EB @ MM 073.8-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM073.8 ES,Unknown,FDOT,Radar,28.447977,-81.474308,,"65","30",0.4,,,,,,,,5.000000000000000,11.000000000000000,,
"9703",I-4 EB @ MM 071.9-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM071.9 ES,Unknown,FDOT,Radar,28.42258,-81.474,,"65","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
"9715",I-4 WB @ MM 072.1-WB-Rmp,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM072.1 WS,Unknown,FDOT,Radar,28.4262,-81.4745,,"45","30",0.5,,,,,,,,5.000000000000000,11.000000000000000,,
"9723",I-4 WB @ MM 073.2-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM073.2 WS,Unknown,FDOT,Radar,28.440204,-81.474266,,"70","30",0.6,,,,,,,,5.000000000000000,11.000000000000000,,
"14722",MVDS: I-4-WB 074.8 ON,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM074.8 WS,Unknown,FDOT,Radar,28.457561,-81.473992,,"55","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
"14723",MVDS: I-4-WB 074.8,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM074.8 WS,Unknown,FDOT,Radar,28.457561,-81.473992,,"55","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
